testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,text_welcome.stopped,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,textAnger.stopped,lureAnger.stopped,blank.started,textBlank.started,textBlank.stopped,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015925000188872218,0.003812599985394627,3.003710700024385,2.9879256000276655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9880044999881648,3.003710700024385,3.003710700024385,4.0251023999881,space,1.0158779000048526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
emotion,0,0,0,,,,,,,,,0,0,0,9,,,,,,,,,,,,,4.036971200024709,,,,,,,,,,,,,4.032462499977555,4.036971200024709,5.037240599980578,5.021456599992234,5.021519000001717,5.037240599980578,5.537477699981537,5.520877000002656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
fight,1,1,0,,,,,,,,,0,1,1,7,,,,,,,,,,,,,5.537477699981537,,,,,,,,,,,,,5.524288300017361,5.537477699981537,6.536973499984015,6.520917800022289,6.520960800000466,6.536973499984015,7.037100900022779,7.020467300026212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
rage,2,2,0,,,,,,,,,0,2,2,3,,,,,,,,,,,,,7.037100900022779,,,,,,,,,,,,,7.023512399988249,7.037100900022779,8.0371724999859,8.021514000021853,8.021562499983702,8.0371724999859,8.537040899973363,8.520642000017688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
mean,3,3,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,8.537040899973363,,,,,,,,,,,,,8.524003600003198,8.537040899973363,9.53743680001935,9.521343200001866,9.521409099979792,9.53743680001935,10.038307600014377,10.02059209998697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
mad,4,4,0,,,,,,,,,0,4,4,0,,,,,,,,,,,,,10.038307600014377,,,,,,,,,,,,,10.023533299972769,10.038307600014377,,11.037539699987974,11.037646499986295,11.053733600012492,,11.537206100008916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
hate,5,5,0,,,,,,,,,0,5,5,2,,,,,,,,,,,,,11.553433699999005,,,,,,,,,,,,,11.540207299985923,11.553433699999005,,12.53876309999032,12.53881790000014,12.55368750001071,,13.037386299984064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
fury,6,6,0,,,,,,,,,0,6,6,5,,,,,,,,,,,,,13.05352130002575,,,,,,,,,,,,,13.04185849998612,13.05352130002575,,14.037261400022544,14.037331399973482,14.053729199978989,,14.537546299980022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
temper,7,7,0,,,,,,,,,0,7,7,4,,,,,,,,,,,,,14.553593399992678,,,,,,,,,,,,,14.541318100003991,14.553593399992678,,15.537842800025828,15.537927300028969,15.553279799991287,,16.037410099990666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
wrath,8,8,0,,,,,,,,,0,8,8,6,,,,,,,,,,,,,16.05357589997584,,,,,,,,,,,,,16.040663000021596,16.05357589997584,,17.03776660002768,17.037853399990126,17.0537328000064,,17.53746919997502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
fear,9,9,0,,,,,,,,,0,9,9,1,,,,,,,,,,,,,17.553574200021103,,,,,,,,,,,,,17.541248800000176,17.553574200021103,,18.537635700020473,18.537735100020654,18.554198800004087,,19.037566400016658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
,0,0,0,snow,,,,,,,,,,,,0,0,0,0,,,,,,,,,19.06062960001873,,,,,,,,,,,,,,,,,20.037548699998297,20.053800699999556,,20.53737470001215,19.056841199984774,19.06062960001873,20.037460300023668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-20_09h46.07.556,solo_project_drm,,2025.1.1,59.768790411004936,2025-11-20 09h46.14.557493 +0530,
