testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,lureAnger.stopped,blank.started,textBlank.started,blank.stopped,lureCold_2.started,textCold.started,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,textBlank.stopped,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003247499989811331,0.01877359999343753,3.0023198000271805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0024450999917462,3.0190719999955036,3.0190719999955036,3.9637420999933966,space,0.9269914000178687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
fear,0,0,0,,,,,,,,,0,0,0,1,,,,,,,,,,,,,3.9776776999933645,,,,,,,,,,,,3.9737172999884933,3.9776776999933645,4.969866700004786,4.969933299988043,4.986450500029605,5.471115500025917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
fury,1,1,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,5.4851720000151545,,,,,,,,,,,,5.4770665999967605,5.4851720000151545,6.470070499985013,6.4701610000338405,6.487084500025958,6.968384600011632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
emotion,2,2,0,,,,,,,,,0,2,2,9,,,,,,,,,,,,,6.9846714999875985,,,,,,,,,,,,6.970798900001682,6.9846714999875985,7.9705865000141785,7.970672000024933,7.987316099985037,8.471592799993232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
temper,3,3,0,,,,,,,,,0,3,3,4,,,,,,,,,,,,,8.48682660004124,,,,,,,,,,,,8.476627100026235,8.48682660004124,9.469047099992167,9.469133000005968,9.486443800036795,9.969951700011734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
mean,4,4,0,,,,,,,,,0,4,4,8,,,,,,,,,,,,,9.985754300025292,,,,,,,,,,,,9.973999799985904,9.985754300025292,10.969025600003079,10.969074500026181,10.986187800008338,11.469310600019526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
rage,5,5,0,,,,,,,,,0,5,5,3,,,,,,,,,,,,,11.48529740003869,,,,,,,,,,,,11.473423000017647,11.48529740003869,12.470046000031289,12.470120100013446,12.485247100004926,12.969086299999617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
fight,6,6,0,,,,,,,,,0,6,6,7,,,,,,,,,,,,,12.985530100006144,,,,,,,,,,,,12.972963200008962,12.985530100006144,13.971442200010642,13.971551800030284,13.987595700018574,14.471055000030901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
hate,7,7,0,,,,,,,,,0,7,7,2,,,,,,,,,,,,,14.48583860002691,,,,,,,,,,,,14.474658499995712,14.48583860002691,15.468252499995288,15.468303900037427,15.48616219998803,15.969813300005626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-19_17h04.28.718,solo_project_drm,,2025.1.1,60.22199029436226,2025-11-19 17h04.36.982332 +0530,
