testAnger,thisN,thisTrialN,thisRepN,lureCold,lureSleep,final_test,corrAns,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,trialsAnger.thisRepN,trialsAnger.thisTrialN,trialsAnger.thisN,trialsAnger.thisIndex,trialsCold.thisRepN,trialsCold.thisTrialN,trialsCold.thisN,trialsCold.thisIndex,trialsSleep.thisRepN,trialsSleep.thisTrialN,trialsSleep.thisN,trialsSleep.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,welcome.stopped,instr.started,text_instr.started,key_resp_instr1.started,instr.stopped,key_resp_instr1.keys,key_resp_instr1.rt,key_resp_instr1.duration,lureAnger.started,textAnger.started,textAnger.stopped,lureAnger.stopped,blank.started,textBlank.started,textBlank.stopped,blank.stopped,lureCold_2.started,textCold.started,textCold.stopped,lureCold_2.stopped,lureSleep_2.started,textSleep.started,lureSleep_2.stopped,instr2.started,text_instr2.started,key_resp_instr2.started,instr2.stopped,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_instr2.duration,math.started,textMath.started,key_resp_math.started,math.stopped,key_resp_math.keys,key_resp_math.rt,key_resp_math.duration,instr3.started,text_instr3.started,key_resp_instr3.started,instr3.stopped,key_resp_instr3.keys,key_resp_instr3.rt,key_resp_instr3.duration,test.started,textTest.started,key_resp_test.started,test.stopped,trialsTest.key_resp_test.keys,trialsTest.key_resp_test.corr,trialsTest.key_resp_test.rt,trialsTest.key_resp_test.duration,thanks.started,textThanks.started,key_resp_exit.started,thanks.stopped,key_resp_exit.keys,key_resp_exit.rt,key_resp_exit.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018631999846547842,0.004921399988234043,3.003998900006991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0041674000094645,3.02022120001493,3.02022120001493,6.30437049997272,space,3.259157399996184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
temper,0,0,0,,,,,,,,,0,0,0,4,,,,,,,,,,,,,6.32062600000063,,,,,,,,,,,,6.31778129999293,6.32062600000063,7.320385499973781,7.304263199970592,7.304331600025762,7.320385499973781,7.819739300000947,7.80346239998471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
rage,1,1,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,7.819739300000947,,,,,,,,,,,,7.806554900016636,7.819739300000947,8.819629699981306,8.804081099980976,8.804148799972609,8.819629699981306,9.31966249999823,9.303130200016312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
wrath,2,2,0,,,,,,,,,0,2,2,6,,,,,,,,,,,,,9.31966249999823,,,,,,,,,,,,9.30575509998016,9.31966249999823,10.319817000010516,10.303851799981203,10.303896699973848,10.319817000010516,10.819602100003976,10.803404000005685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
emotion,3,3,0,,,,,,,,,0,3,3,9,,,,,,,,,,,,,10.819602100003976,,,,,,,,,,,,10.806201200000942,10.819602100003976,11.81987599999411,11.803492999984883,11.803522999980487,11.81987599999411,12.31983880000189,12.303940400015563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
mad,4,4,0,,,,,,,,,0,4,4,0,,,,,,,,,,,,,12.31983880000189,,,,,,,,,,,,12.308173299999908,12.31983880000189,13.319849100022111,13.304031000006944,13.304104699986055,13.319849100022111,13.82037610001862,13.803965599974617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
mean,5,5,0,,,,,,,,,0,5,5,8,,,,,,,,,,,,,13.82037610001862,,,,,,,,,,,,13.808561599988025,13.82037610001862,14.81968750001397,14.80411179998191,14.804184700013138,14.81968750001397,15.320215800020378,15.304095999978017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
fight,6,6,0,,,,,,,,,0,6,6,7,,,,,,,,,,,,,15.320215800020378,,,,,,,,,,,,15.308425099996384,15.320215800020378,16.319570699997712,16.30343750002794,16.30346979998285,16.319570699997712,16.819751999981236,16.803324399981648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
fear,7,7,0,,,,,,,,,0,7,7,1,,,,,,,,,,,,,16.819751999981236,,,,,,,,,,,,16.806662800023332,16.819751999981236,17.819666999974288,17.803634600015357,17.80368000001181,17.819666999974288,18.319940400018822,18.303886600013357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2025-11-19_22h37.02.203,solo_project_drm,,2025.1.1,59.95904797948804,2025-11-19 22h37.48.267751 +0530,
