stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0303761,,0.0123245,0.0303761,0.5139295,0.5139295,0.5302333,0.8139801,1.3702797,right,10,1,1,0.8366231,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
1,2,8,1.3805233,,1.3704946,1.3805233,1.880278,1.880278,1.880278,2.1791578,2.4791208,right,8,1,1,0.5852684,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
2,2,6,2.4957507,,2.4793136,2.4957507,2.9803631,2.9803631,2.9957034,3.2955232,3.4792334,right,6,1,1,0.4935292,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
3,2,4,3.4955309,,3.4794188,3.4955309,3.9791582,3.9791582,3.9961589,4.2791681,4.4309095,right,4,1,1,0.4395062,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
4,2,2,4.4459451,,4.4311452,4.4459451,4.9457486,4.9457486,4.9457486,5.2464319,5.3805089,left,-2,1,1,0.4191637,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
5,2,1,5.3966003,,5.3808348,5.3966003,5.8952796,5.8952796,5.9121128,6.1956975,6.2959243,left,-1,1,1,0.3845729,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
6,2,1,6.3129423,,6.296217,6.3129423,6.7953214,6.7953214,6.811943,7.0965452,7.1788343,right,1,1,1,0.3751004,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
7,2,1,7.195555,,7.1789918,7.195555,7.6790017,7.6790017,7.6963784,7.9798231,8.2960652,left,-1,1,1,0.6000399,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
8,1,1,8.3117072,,8.2962719,8.3117072,8.7964828,8.7964828,8.8128796,9.0955191,9.2145511,right,1,0,0,0.4022262,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
9,1,2,9.2303341,,9.2147879,9.2303341,9.7298507,9.7298507,9.7298507,10.0292354,10.2471827,right,2,1,1,0.5102944,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
10,1,2,10.2631838,,10.247503,10.2631838,10.745748,10.745748,10.7629434,11.0456561,11.1621643,left,-2,1,1,0.4037022,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
11,1,2,11.1793092,,11.1623513,11.1793092,11.6630213,11.6630213,11.679164,11.962542,12.112825,right,2,1,1,0.4484392,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
12,1,1,12.128385,,12.1130612,12.128385,12.6126596,12.6126596,12.6295068,12.9127226,13.0468026,left,-1,1,1,0.4177005,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
13,1,1,13.0630813,,13.047087,13.0630813,13.5622359,13.5622359,13.5622359,13.8619858,14.0118877,right,1,1,1,0.444954,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
14,1,1,14.0288719,,14.0120282,14.0288719,14.511957,14.511957,14.5286536,14.8118128,15.0627778,left,-1,1,1,0.5411686,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
15,0.5,1,15.0788099,,15.0630156,15.0788099,15.5794154,15.5794154,15.5794154,15.8792279,16.3285606,left,-1,0,0,0.7431206,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
16,0.5,1.5,16.3449763,,16.3287534,16.3449763,16.8294808,16.8294808,16.8461947,17.1292864,17.379505,right,1.5,1,1,0.5435281,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
17,0.5,1.5,17.3959366,,17.3796951,17.3959366,17.8792435,17.8792435,17.8948488,18.1785377,18.3120818,right,1.5,1,1,0.4315562,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
18,0.5,1.5,18.3285427,,18.3122973,18.3285427,18.8132707,18.8132707,18.8294908,19.1293865,19.5300758,right,1.5,1,1,0.7159607,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
19,0.5,1,19.5455131,,19.5302405,19.5455131,20.0456798,20.0456798,20.0456798,20.3454232,20.4627675,right,1,0,0,0.4141339,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
20,0.5,1.5,20.4784929,,20.4629901,20.4784929,20.9785121,20.9785121,20.9785121,21.2786705,21.4290304,left,-1.5,1,1,0.4435611,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
21,0.5,1.5,21.4460132,,21.4292589,21.4460132,21.9285559,21.9285559,21.9451287,22.2286852,22.4454444,right,1.5,1,1,0.5079261,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
22,0.5,1.5,22.4614623,,22.4456184,22.4614623,22.9454191,22.9454191,22.9617465,23.2453293,23.4790161,right,1.5,1,1,0.5285327,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
23,0.5,1,23.4950478,,23.4791816,23.4950478,23.9791073,23.9791073,23.995339,24.2785255,24.4788432,right,1,1,1,0.483453,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
24,0.5,1,24.4952139,,24.4790143,24.4952139,24.9787898,24.9787898,24.9947073,25.2787651,25.3622146,left,-1,1,1,0.372822,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
25,0.5,1,25.3784304,,25.3623868,25.3784304,25.8620126,25.8620126,25.8790348,26.1624263,26.2454895,left,-1,1,1,0.3754338,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
26,0.5,1,26.261486,,26.2456654,26.261486,26.7455839,26.7455839,26.7619584,27.045968,27.0621719,left,-1,1,1,0.3133799,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
27,0.5,1,27.0782007,,27.0623492,27.0782007,27.5617777,27.5617777,27.578846,27.8619126,27.930121,right,1,1,1,0.3520038,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
28,0.5,1,27.9457206,,27.9304494,27.9457206,28.445606,28.445606,28.445606,28.7451723,28.9126053,left,-1,0,0,0.4605329,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
29,0.5,1.5,28.9286554,,28.9129134,28.9286554,29.4120781,29.4120781,29.4287131,29.7125289,29.9290274,right,1.5,1,1,0.5014013,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
30,0.5,1.5,29.9448893,,29.9291718,29.9448893,30.4286664,30.4286664,30.4453801,30.7285695,30.7946848,left,-1.5,1,1,0.3617032,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
31,0.5,1.5,30.8119004,,30.7948763,30.8119004,31.2948135,31.2948135,31.3118895,31.5958366,31.696653,right,1.5,1,1,0.3966919,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
32,0.5,1,31.7127349,,31.696931,31.7127349,32.2120936,32.2120936,32.2120936,32.5123696,32.6454309,left,-1,0,0,0.4288711,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
33,0.5,1.5,32.6621676,,32.6456267,32.6621676,33.1450498,33.1450498,33.1617457,33.4455597,33.6453095,right,1.5,1,1,0.4888748,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
34,0.5,1.5,33.6620929,,33.6454768,33.6620929,34.1458273,34.1458273,34.16269,34.4457691,34.5795706,left,-1.5,1,1,0.4162188,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
35,0.5,1.5,34.5951888,,34.5798576,34.5951888,35.0953275,35.0953275,35.0953275,35.3947074,35.6125555,left,-1.5,1,1,0.5100446,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
36,0.5,1,35.6288626,,35.6127675,35.6288626,36.129635,36.129635,36.129635,36.4285833,36.5295496,right,1,1,1,0.3827733,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
37,0.5,1,36.5458129,,36.5298041,36.5458129,37.0290978,37.0290978,37.0461407,37.3290422,37.5953675,left,-1,0,0,0.5512722,943664,1,2025-09-04_10h13.01.983,adaptive_staircase,,2025.1.1,60.82473474,2025-09-04 10h13.03.194076 +0530
