study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test,Reference,old_new,textbox.text,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_mouse.time,test_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test_2.started,Test_Text.started,textbox.started,submit_text.started,test_mouse.started,test_2.stopped,trials_2.textbox.text,trials_2.test_mouse.x,trials_2.test_mouse.y,trials_2.test_mouse.leftButton,trials_2.test_mouse.midButton,trials_2.test_mouse.rightButton,trials_2.test_mouse.time,trials_2.test_mouse.clicked_name,Test_Text.stopped,textbox.stopped,submit_text.stopped,test_mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
t-shirt,0,0,0,1,3.056512600000133,,,,,,,,,,,,0,0,0,7,,,,,0.018718899998930283,,0.011634799986495636,0.018718899998930283,0.018718899998930283,3.0821391999925254,1,3.056512600000133,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
case,1,1,0,1,0.8614862999966135,,,,,,,,,,,,0,1,1,10,,,,,3.0977817999955732,,3.0887803999939933,3.0977817999955732,3.0977817999955732,3.9655788999953074,1,0.8614862999966135,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
board,2,2,0,1,0.8469290000066394,,,,,,,,,,,,0,2,2,4,,,,,3.9810343999997713,,3.9719483999942895,3.9810343999997713,3.9810343999997713,4.83271539999987,1,0.8469290000066394,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
poster,3,3,0,1,0.8625810999947134,,,,,,,,,,,,0,3,3,14,,,,,4.847597999993013,,4.838325699995039,4.847597999993013,4.847597999993013,5.715411400000448,1,0.8625810999947134,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
marble,4,4,0,1,0.7810129999998026,,,,,,,,,,,,0,4,4,3,,,,,5.730938399996376,,5.719665799988434,5.730938399996376,5.730938399996376,6.515624699997716,1,0.7810129999998026,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
pastry,5,5,0,1,0.6783278999937465,,,,,,,,,,,,0,5,5,9,,,,,6.531167299996014,,6.521286899995175,6.531167299996014,6.531167299996014,7.215641699993284,1,0.6783278999937465,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
mouse,6,6,0,1,0.8139962999994168,,,,,,,,,,,,0,6,6,8,,,,,7.23084539998672,,7.220193599991035,7.23084539998672,7.23084539998672,8.048741599995992,1,0.8139962999994168,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
police,7,7,0,1,0.664367499994114,,,,,,,,,,,,0,7,7,12,,,,,8.064117199988686,,8.051950299995951,8.064117199988686,8.064117199988686,8.732363099989016,1,0.664367499994114,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
keys,8,8,0,1,0.6637702000007266,,,,,,,,,,,,0,8,8,13,,,,,8.747673499994562,,8.735883799992735,8.747673499994562,8.747673499994562,9.415777999995044,1,0.6637702000007266,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
cruise,9,9,0,1,0.6471445000061067,,,,,,,,,,,,0,9,9,11,,,,,9.430727099999785,,9.41906069999095,9.430727099999785,9.430727099999785,10.082369199997629,1,0.6471445000061067,,,,,,,,,,,,,,,,,,,p2,001,2025-10-16_22h36.56.615,word_priming_exp,,2025.1.1,60.22017701220666,2025-10-16 22h37.02.293140 +0530,
