thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.23)],[np.float64(-0.011666666666666667)],[1],[0],[0],[1.8229911999987962],['target'],0,0,0,0,0.019204000000172528,,5,0.013568200000008801,0.019204000000172528,0.019204000000172528,0.013203800001065247,1.8368928000018059,[np.float64(-0.23)],[np.float64(-0.011666666666666667)],[1],[0],[0],[1.8229911999987962],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
1,0,1,[np.float64(-0.2175)],[np.float64(0.43333333333333335)],[1],[0],[0],[2.568455600001471],['target'],1,0,1,0,1.8587750000006054,,10,1.8518561000018963,1.8587750000006054,1.8587750000006054,0.014862500000162981,4.421492000001308,[np.float64(-0.2175)],[np.float64(0.43333333333333335)],[1],[0],[0],[2.568455600001471],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
2,0,2,[np.float64(-0.205)],[np.float64(-0.3591666666666667)],[1],[0],[0],[2.628638999998657],['target'],2,0,2,0,4.450450500000443,,10,4.442928100001154,4.450450500000443,4.450450500000443,0.020990900000469992,7.0724811000000045,[np.float64(-0.205)],[np.float64(-0.3591666666666667)],[1],[0],[0],[2.628638999998657],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
3,0,3,[np.float64(0.06916666666666667)],[np.float64(-0.16166666666666665)],[1],[0],[0],[1.3873700000003737],[None],3,0,3,0,7.08896740000273,,5,7.084314700001414,7.08896740000273,7.08896740000273,0.011593400002311682,8.472635000001901,[np.float64(0.06916666666666667)],[np.float64(-0.16166666666666665)],[1],[0],[0],[1.3873700000003737],[None],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
4,0,4,[np.float64(-0.3575)],[np.float64(0.5)],[1],[0],[0],[1.8022971999998845],['target'],4,0,4,0,8.491221100000985,,5,8.4866406000001,8.491221100000985,8.491221100000985,0.013811400000122376,10.289988900000026,[np.float64(-0.3575)],[np.float64(0.5)],[1],[0],[0],[1.8022971999998845],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
5,0,5,[np.float64(-0.1575)],[np.float64(-0.0725)],[1],[0],[0],[2.866427900000417],['target'],5,0,5,0,10.331887899999856,,10,10.320116400002007,10.331887899999856,10.331887899999856,0.02987059999941266,13.187140000001818,[np.float64(-0.1575)],[np.float64(-0.0725)],[1],[0],[0],[2.866427900000417],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
6,0,6,[np.float64(-0.1325)],[np.float64(0.31083333333333335)],[1],[0],[0],[1.661864700003207],['target'],6,0,6,0,13.21774430000005,,5,13.209510900000168,13.21774430000005,13.21774430000005,0.022181299998919712,14.871974400000909,[np.float64(-0.1325)],[np.float64(0.31083333333333335)],[1],[0],[0],[1.661864700003207],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
7,0,7,[np.float64(0.265)],[np.float64(-0.39416666666666667)],[1],[0],[0],[5.944864500001131],['target'],7,0,7,0,14.900168400003167,,10,14.892064800002117,14.900168400003167,14.900168400003167,0.019869899999321206,20.83745110000018,[np.float64(0.265)],[np.float64(-0.39416666666666667)],[1],[0],[0],[5.944864500001131],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
8,0,8,[np.float64(-0.023333333333333334)],[np.float64(0.2891666666666667)],[1],[0],[0],[1.7427461000006588],['target'],8,0,8,0,20.87087690000044,,10,20.8606577999999,20.87087690000044,20.87087690000044,0.02298999999766238,22.604383900001267,[np.float64(-0.023333333333333334)],[np.float64(0.2891666666666667)],[1],[0],[0],[1.7427461000006588],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
9,0,9,[np.float64(0.1125)],[np.float64(-0.25166666666666665)],[1],[0],[0],[1.7036186999976053],['target'],9,0,9,0,22.621906700002,,5,22.616893000002165,22.621906700002,22.621906700002,0.012094599998818012,24.32131490000029,[np.float64(0.1125)],[np.float64(-0.25166666666666665)],[1],[0],[0],[1.7036186999976053],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
10,0,10,[np.float64(0.20083333333333334)],[np.float64(0.42833333333333334)],[1],[0],[0],[1.7281717999976536],[None],10,0,10,0,24.349788600000466,,5,24.34231450000152,24.349788600000466,24.349788600000466,0.02064520000203629,26.071269300002314,[np.float64(0.20083333333333334)],[np.float64(0.42833333333333334)],[1],[0],[0],[1.7281717999976536],[None],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
11,0,11,[np.float64(-0.47833333333333333)],[np.float64(-0.09166666666666666)],[1],[0],[0],[1.3795281999991857],[None],11,0,11,0,26.102133200001845,,10,26.094690400001127,26.102133200001845,26.102133200001845,0.02324179999777698,27.474813700002414,[np.float64(-0.47833333333333333)],[np.float64(-0.09166666666666666)],[1],[0],[0],[1.3795281999991857],[None],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
12,0,12,[np.float64(0.3541666666666667)],[np.float64(-0.19416666666666665)],[1],[0],[0],[1.5518922000010207],[None],12,0,12,0,27.49164120000205,,5,27.48634950000269,27.49164120000205,27.49164120000205,0.011344200000166893,29.039378800000122,[np.float64(0.3541666666666667)],[np.float64(-0.19416666666666665)],[1],[0],[0],[1.5518922000010207],[None],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
13,0,13,[np.float64(-0.17583333333333334)],[np.float64(0.43333333333333335)],[1],[0],[0],[2.201023699999496],[None],13,0,13,0,29.078713900002185,,10,29.068660400000226,29.078713900002185,29.078713900002185,0.029046399999060668,31.270377600001666,[np.float64(-0.17583333333333334)],[np.float64(0.43333333333333335)],[1],[0],[0],[2.201023699999496],[None],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
14,0,14,[np.float64(-0.17583333333333334)],[np.float64(0.43333333333333335)],[1],[0],[0],[1.2277218000017456],[None],14,0,14,0,31.30388260000109,,10,31.29209980000087,31.30388260000109,31.30388260000109,0.021418200001789955,32.52025400000275,[np.float64(-0.17583333333333334)],[np.float64(0.43333333333333335)],[1],[0],[0],[1.2277218000017456],[None],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
15,0,15,[np.float64(0.3575)],[np.float64(-0.43416666666666665)],[1],[0],[0],[2.5536444000026677],['target'],15,0,15,0,32.539572900001076,,5,32.532808200001455,32.539572900001076,32.539572900001076,0.01239779999741586,35.08751620000112,[np.float64(0.3575)],[np.float64(-0.43416666666666665)],[1],[0],[0],[2.5536444000026677],['target'],p3,001,2025-09-30_21h16.53.302,04102024_3.0_Visual Search Task,,2025.1.1,59.99840404252334,2025-09-30 21h17.06.118439 +0530,
