key_res.keys,key_res.corr,key_res.rt,key_res.duration,tilt,,hit,miss,FA,CR,
up,1,0.5159026,None,0,,,,,1,
down,0,0.7366446,None,0,,,,1,,
up,1,0.8992843,None,0,,,,,1,
up,0,0.8450412,None,-3,,,1,,,
up,0,1.0315484,None,-3,,,1,,,
down,1,0.7091714,None,2,,1,,,,
up,1,0.9307359,None,0,,,,,1,
up,1,0.5632319,None,0,,,,,1,
down,1,0.8058093,None,-4,,1,,,,
down,1,0.7241754,None,4,,1,,,,
down,0,0.6540462,None,0,,,,1,,
down,0,0.5237944,None,0,,,,1,,
up,1,0.645516,None,0,,,,,1,
down,1,0.5537987,None,4,,1,,,,
up,1,0.5973273,None,0,,,,,1,
up,1,0.686892,None,0,,,,,1,
down,1,0.6450894,None,-4,,1,,,,
down,1,0.4871137,None,-4,,1,,,,
down,1,0.503852,None,-2,,1,,,,
down,1,0.7287124,None,-4,,1,,,,
up,1,0.5637879,None,0,,,,,1,
up,1,0.6320487,None,0,,,,,1,
up,0,0.5326685,None,1,,,1,,,
up,1,0.4925916,None,0,,,,,1,
up,0,0.4546702,None,1,,,1,,,
down,1,1.0884674,None,4,,1,,,,
up,1,0.8228121,None,0,,,,,1,
up,1,0.6937245,None,0,,,,,1,
up,1,0.5727414,None,0,,,,,1,
up,1,0.5960331,None,0,,,,,1,
up,1,0.5586342,None,0,,,,,1,
up,1,0.5339202,None,0,,,,,1,
up,1,0.5163358,None,0,,,,,1,
up,1,0.3743975,None,0,,,,,1,
up,0,1.1771491,None,1,,,1,,,
up,1,0.6696048,None,0,,,,,1,
up,0,0.5931618,None,2,,,1,,,
up,1,0.779349,None,0,,,,,1,
up,1,0.8048373,None,0,,,,,1,
down,1,0.6538989,None,-3,,1,,,,
up,1,0.6753537,None,0,,,,,1,
up,1,0.5660697,None,0,,,,,1,
up,1,0.6680856,None,0,,,,,1,
up,0,1.010992,None,4,,,1,,,
down,1,0.5303422,None,-3,,1,,,,
down,1,0.4106739,None,3,,1,,,,
down,1,0.3709826,None,4,,1,,,,
down,1,0.3920618,None,-5,,1,,,,
down,0,0.5232331,None,0,,,,1,,
up,1,0.6779518,None,0,,,,,1,
up,1,0.6062408,None,0,,,,,1,
up,1,0.3841484,None,0,,,,,1,
down,1,0.7835293,None,2,,1,,,,
down,1,0.684499,None,3,,1,,,,
down,1,0.7792754,None,-2,,1,,,,
down,1,0.6022393,None,-4,,1,,,,
up,1,0.5773398,None,0,,,,,1,
up,0,0.634825,None,4,,,1,,,
up,1,0.6373065,None,0,,,1,,,
up,0,1.1232844,None,-3,,,1,,,
down,1,0.6739151,None,1,,1,,,,
up,1,0.3669026,None,0,,,,,1,
up,1,0.5958111,None,0,,,,,1,
up,1,0.6442002,None,0,,,,,1,
up,1,0.8495824,None,0,,,,,1,
up,1,0.7762288,None,0,,,,,1,
up,0,0.571877,None,1,,,1,,,
up,1,0.3997133,None,0,,,,,1,
down,0,0.7963172,None,0,,,,1,,
up,0,0.5017548,None,-3,,,1,,,
down,1,0.6945925,None,4,,1,,,,
up,1,0.5749986,None,0,,,,,1,
down,1,0.7499395,None,4,,1,,,,
up,1,0.6651912,None,0,,,,,1,
up,1,0.6140419,None,0,,,,,1,
up,0,0.8147778,None,-5,,,1,,,
down,1,0.8870005,None,-5,,1,,,,
down,0,0.8914406,None,0,,,,1,,
down,1,0.5655528,None,-3,,1,,,,
up,1,0.5397369,None,0,,,,,1,
up,1,0.8787006,None,0,,,,,1,
down,1,0.5310714,None,-4,,1,,,,
down,0,0.4920401,None,0,,,,1,,
up,0,0.7727648,None,2,,,1,,,
down,1,0.6429199,None,4,,1,,,,
down,1,0.7801162,None,3,,1,,,,
up,1,0.6009147,None,0,,,,,1,
up,1,0.5887067,None,0,,,,,1,
up,1,0.8747315,None,0,,,,,1,
down,1,0.5578446,None,-5,,1,,,,
down,0,0.9939371,None,0,,,,1,,
up,0,5.7421572,None,-5,,,1,,,
down,0,0.5665819,None,0,,,,1,,
up,0,0.7635638,None,-2,,,1,,,
up,1,0.7594427,None,0,,,,,1,
down,0,0.7760773,None,0,,,,1,,
up,1,0.8837155,None,0,,,,,1,
down,0,0.6638629,None,0,,,,1,,
up,0,0.5523246,None,-4,,,1,,,
down,0,0.7141456,None,0,,,,1,,
,,,,,,27,17,12,44,
,,,,,,,,,,
,,,,,,,,,,
,prop hit = hit/ hit+miss,,0.613636364,,,,,,,
,prop FA + FA/ FA+CR,,0.214285714,,,,,,,
,,,,,,,,,,
,dprime = z(prop hit)-z(propFA),,1.080447963,,,,,,,
,C = z(PropHit) + z(PropFA) / 2,,-0.107009949,,,,,,,
