pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.41720369999529794,None,0,0,0,0,,,,,0.011881300000823103,,0.00877180001407396,0.011881300000823103,1.006730900000548,1.006730900000548,1.006730900000548,1.006730900000548,1.0232148000068264,2.0066299000027357,2.0066299000027357,2.4347142000042368,x,1,0.41720369999529794,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
150,v,1,1,0,v,1,0.2775810999883106,None,0,1,1,1,,,,,2.4400679000100354,,2.435057800001232,2.4400679000100354,3.4400823000032688,3.4400823000032688,3.4400823000032688,3.4400823000032688,3.4400823000032688,4.4403707000019494,4.4403707000019494,4.726350800003274,v,1,0.2775810999883106,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
50,c,2,2,0,c,1,0.2882724999944912,None,0,2,2,2,,,,,4.74088360001042,,4.726876600005198,4.74088360001042,5.740384800010361,5.740384800010361,5.740384800010361,5.740384800010361,5.740384800010361,6.741101200008416,6.741101200008416,7.041133900012937,c,1,0.2882724999944912,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-150,z,3,3,0,z,1,0.2656533999979729,None,0,3,3,3,,,,,7.056475200006389,,7.0413986000057776,7.056475200006389,8.056625900004292,8.056625900004292,8.056625900004292,8.056625900004292,8.056625900004292,9.056538200005889,9.056538200005889,9.324638100006268,z,1,0.2656533999979729,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-50,x,4,0,1,x,1,0.47548969999479596,None,1,0,4,0,,,,,9.339977800002089,,9.324884600006044,9.339977800002089,10.339990800013766,10.339990800013766,10.339990800013766,10.339990800013766,10.339990800013766,11.339757900001132,11.339757900001132,11.824484200013103,x,1,0.47548969999479596,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
150,v,5,1,1,v,1,0.25955380000232253,None,1,1,5,1,,,,,11.839697800009162,,11.824746199999936,11.839697800009162,12.839727100013988,12.839727100013988,12.839727100013988,12.839727100013988,12.839727100013988,13.840056200002437,13.840056200002437,14.109008600004017,v,1,0.25955380000232253,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
50,c,6,2,1,c,1,0.04059620000771247,None,1,2,6,2,,,,,14.123159700000542,,14.10938310000347,14.123159700000542,15.1231972000096,15.1231972000096,15.1231972000096,15.1231972000096,15.1231972000096,16.123041000013473,16.123041000013473,16.174529400013853,c,1,0.04059620000771247,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-150,z,7,3,1,z,1,0.2765344999934314,None,1,3,7,3,,,,,16.189861300008488,,16.174774900006014,16.189861300008488,17.19001710000157,17.19001710000157,17.19001710000157,17.19001710000157,17.19001710000157,18.189754200007883,18.189754200007883,18.475812600008794,z,1,0.2765344999934314,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-50,x,8,0,2,x,1,0.24965340000926517,None,2,0,8,0,,,,,18.489945600013016,,18.476521500007948,18.489945600013016,19.49001350000617,19.49001350000617,19.49001350000617,19.49001350000617,19.49001350000617,20.48981840000488,20.48981840000488,20.74260770001274,x,1,0.24965340000926517,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
150,v,9,1,2,v,1,0.17463739999220707,None,2,1,9,1,,,,,20.756563100003405,,20.742839300000924,20.756563100003405,21.75624180000159,21.75624180000159,21.75624180000159,21.75624180000159,21.75624180000159,22.756302300011157,22.756302300011157,22.94100310000067,v,1,0.17463739999220707,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
50,c,10,2,2,c,1,0.17294350000156555,None,2,2,10,2,,,,,22.956391700005042,,22.941227900009835,22.956391700005042,23.956271300005028,23.956271300005028,23.956271300005028,23.956271300005028,23.956271300005028,24.956395500004874,24.956395500004874,25.141376300001866,c,1,0.17294350000156555,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-150,z,11,3,2,z,1,0.006901599990669638,None,2,3,11,3,,,,,25.156683100009104,,25.141700200008927,25.156683100009104,26.15646400001424,26.15646400001424,26.15646400001424,26.15646400001424,26.15646400001424,27.156152700001257,27.156152700001257,27.174480800007586,z,1,0.006901599990669638,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-50,x,12,0,3,x,1,0.25690469999972265,None,3,0,12,0,,,,,27.18947250000201,,27.174717700007022,27.18947250000201,28.18961690001015,28.18961690001015,28.18961690001015,28.18961690001015,28.18961690001015,29.189527400012594,29.189527400012594,29.45745820000593,x,1,0.25690469999972265,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
150,v,13,1,3,v,1,0.26193500000226777,None,3,1,13,1,,,,,29.472859700006666,,29.45768930000486,29.472859700006666,30.47285470001225,30.47285470001225,30.47285470001225,30.47285470001225,30.47285470001225,31.4728208000015,31.4728208000015,31.740631300010136,v,1,0.26193500000226777,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
50,c,14,2,3,c,1,0.008077899998170324,None,3,2,14,2,,,,,31.756147300009616,,31.74085830000695,31.756147300009616,32.75615749999997,32.75615749999997,32.75615749999997,32.75615749999997,32.75615749999997,33.75645720001194,33.75645720001194,33.77434940000239,c,1,0.008077899998170324,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-150,z,15,3,3,z,1,0.1587157999892952,None,3,3,15,3,,,,,33.7897568000044,,33.77463950001402,33.7897568000044,34.78958480000438,34.78958480000438,34.78958480000438,34.78958480000438,34.78958480000438,35.78937450000376,35.78937450000376,35.95779760000005,z,1,0.1587157999892952,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-50,x,16,0,4,x,1,0.25630640001327265,None,4,0,16,0,,,,,35.97293210000498,,35.958028400011244,35.97293210000498,36.97279430000344,36.97279430000344,36.97279430000344,36.97279430000344,36.97279430000344,37.97404690000985,37.97404690000985,38.241556200009654,x,1,0.25630640001327265,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
150,v,17,1,4,v,1,0.22124289999192115,None,4,1,17,1,,,,,38.2563877000066,,38.24187450000318,38.2563877000066,39.256225800010725,39.256225800010725,39.256225800010725,39.256225800010725,39.256225800010725,40.25618120000581,40.25618120000581,40.49083840000094,v,1,0.22124289999192115,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
50,c,18,2,4,c,1,0.24098609999055043,None,4,2,18,2,,,,,40.50635320000583,,40.49106890000985,40.50635320000583,41.506095400007325,41.506095400007325,41.506095400007325,41.506095400007325,41.506095400007325,42.50632620000397,42.50632620000397,42.75756940001156,c,1,0.24098609999055043,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-150,z,19,3,4,z,1,0.5556254999974044,None,4,3,19,3,,,,,42.7728000000061,,42.75779520001379,42.7728000000061,43.772735900012776,43.772735900012776,43.772735900012776,43.772735900012776,43.772735900012776,44.772641100003966,44.772641100003966,45.34095700000762,z,1,0.5556254999974044,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-50,x,20,0,5,x,1,0.5823858999938238,None,5,0,20,0,,,,,45.35608370001137,,45.34124610001163,45.35608370001137,46.33991720000631,46.33991720000631,46.33991720000631,46.33991720000631,46.35678680001001,47.35690030000114,47.35690030000114,47.9423431000032,x,1,0.5823858999938238,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
150,v,21,1,5,v,1,0.1137460000027204,None,5,1,21,1,,,,,47.956110200000694,,47.94276190000528,47.956110200000694,48.9568755000073,48.9568755000073,48.9568755000073,48.9568755000073,48.9568755000073,49.95659090000845,49.95659090000845,50.07553650000773,v,1,0.1137460000027204,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
50,c,22,2,5,c,1,0.3021355999953812,None,5,2,22,2,,,,,50.08991410001181,,50.075951300008455,50.08991410001181,51.09000800001377,51.09000800001377,51.09000800001377,51.09000800001377,51.09000800001377,52.08988250000402,52.08988250000402,52.40872850001324,c,1,0.3021355999953812,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-150,z,23,3,5,z,1,0.2565337999985786,None,5,3,23,3,,,,,52.42305170001055,,52.40915560000576,52.42305170001055,53.422900400008075,53.422900400008075,53.422900400008075,53.422900400008075,53.422900400008075,54.422629100008635,54.422629100008635,54.69288340001367,z,1,0.2565337999985786,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
-50,x,24,0,6,x,1,0.11872769999899901,None,6,0,24,0,,,,,54.706249400012894,,54.69336220000696,54.706249400012894,55.70656550000422,55.70656550000422,55.70656550000422,55.70656550000422,55.70656550000422,56.70613850001246,56.70613850001246,56.82788609999989,x,1,0.11872769999899901,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
150,v,25,1,6,v,1,0.25581360000069253,None,6,1,25,1,,,,,56.84005770001386,,56.82840800000122,56.84005770001386,57.83985310001299,57.83985310001299,57.83985310001299,57.83985310001299,57.83985310001299,58.84005560001242,58.84005560001242,59.10805630001414,v,1,0.25581360000069253,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
50,c,26,2,6,c,1,0.03601599999819882,None,6,2,26,2,,,,,59.122731400013436,,59.10847820001072,59.122731400013436,60.12275840000075,60.12275840000075,60.12275840000075,60.12275840000075,60.12275840000075,61.12332830000378,61.12332830000378,61.17581830000563,c,1,0.03601599999819882,None,,,,,participant5,001,2025-10-05_01h23.39.517,11102024_4.0_Motor Sequence Learning,,2025.1.1,60.03546895955558,2025-10-05 01h24.10.207270 +0530,
