condition,textbox.text,,,,unexp mean,exp mean
exp,"0
",,,,5.367245658,5.350617284
exp,"0
",,,,,
exp,1,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,1,,,,,
exp,1,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,1,,,,,
exp,1,,,,,
exp,1,,,,,
unexp,0,,,,,
unexp,0,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,1,,,,,
exp,1,,,,,
exp,1,,,,,
exp,"1
",,,,,
exp,2,,,,,
exp,2,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,1,,,,,
unexp,0,,,,,
exp,110,,,,,
exp,90,,,,,
exp,90,,,,,
exp,80,,,,,
exp,130,,,,,
unexp,0,,,,,
exp,90,,,,,
exp,80,,,,,
unexp,0,,,,,
exp,120,,,,,
exp,250,,,,,
exp,90,,,,,
exp,170,,,,,
exp,200,,,,,
unexp,0,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,2,,,,,
exp,1,,,,,
exp,1,,,,,
exp,2,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,4,,,,,
exp,2,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,2,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,1,,,,,
exp,3,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,1,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,3,,,,,
exp,1,,,,,
exp,1,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,3,,,,,
exp,2,,,,,
exp,3,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,1,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,3,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,1,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,4,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,4,,,,,
exp,2,,,,,
exp,2,,,,,
exp,2,,,,,
exp,3,,,,,
exp,1,,,,,
exp,3,,,,,
exp,3,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,1,,,,,
unexp,0,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,4,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,1,,,,,
exp,2,,,,,
exp,4,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,1,,,,,
exp,1,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,3,,,,,
exp,1,,,,,
unexp,0,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,2,,,,,
exp,3,,,,,
exp,1,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,4,,,,,
exp,4,,,,,
exp,1,,,,,
exp,1,,,,,
unexp,0,,,,,
exp,4,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,2,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,3,,,,,
exp,4,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,4,,,,,
exp,3,,,,,
exp,1,,,,,
exp,2,,,,,
exp,1,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,4,,,,,
unexp,0,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,2,,,,,
exp,4,,,,,
exp,3,,,,,
exp,4,,,,,
exp,4,,,,,
exp,2,,,,,
unexp,0,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,2,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,1,,,,,
exp,4,,,,,
exp,3,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,1,,,,,
exp,4,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,4,,,,,
exp,3,,,,,
exp,2,,,,,
exp,1,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,2,,,,,
exp,2,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,4,,,,,
exp,2,,,,,
exp,4,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,3,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,4,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,4,,,,,
exp,1,,,,,
exp,2,,,,,
exp,1,,,,,
exp,3,,,,,
exp,4,,,,,
unexp,0,,,,,
exp,3,,,,,
exp,1,,,,,
exp,2,,,,,
exp,2,,,,,
unexp,0,,,,,
exp,4,,,,,
unexp,0,,,,,
exp,4,,,,,
unexp,0,,,,,
exp,2,,,,,
exp,3,,,,,
exp,2,,,,,
exp,4,,,,,
